	sample	Lane	name
0	D13A	001	D13_A
1	D13B	001	D13_B
2	D14A	001	D14_A
3	D14B	001	D14_B
4	D15A	001	D15_A
5	D15B	001	D15_B
6	D22A	001	D22_A
7	D22B	001	D22_B
8	D24A	001	D24_A
9	D24B	001	D24_B
10	D25A	001	D25_A
11	D25B	001	D25_B
12	D28A	001	D28_A
13	D28B	001	D28_B
14	D34A	001	D34_A
15	D34B	001	D34_B
16	D35A	001	D35_A
17	D35B	001	D35_B
18	D36A	001	D36_A
19	D36B	001	D36_B
20	LK10A2	001	LK10_A2
21	LK10A	001	LK10_A
22	LK10B	001	LK10_B
23	LK12A	001	LK12_A
24	LK12B	001	LK12_B
25	LK16A	001	LK16_A
26	LK16B	001	LK16_B
27	LK18A	001	LK18_A
28	LK18B	001	LK18_B
29	LK19A	001	LK19_A
30	LK19B	001	LK19_B
31	LK1A	001	LK1_A
32	LK1B	001	LK1_B
33	LK20A	001	LK20_A
34	LK20B	001	LK20_B
35	LK21A	001	LK21_A
36	LK21B	001	LK21_B
37	LK23A	001	LK23_A
38	LK23B	001	LK23_B
39	LK2A	001	LK2_A
40	LK2B	001	LK2_B
41	LK3A	001	LK3_A
42	LK3B	001	LK3_B
43	LK4A	001	LK4_A
44	LK4B	001	LK4_B
45	LK11A	001	LK11_A
46	LK11B	001	LK11_B